publishDate,wordpressId,title,episodeNo
2009-08-16,1131,The Computer Action Show! Season 1 Episode 1,1
2009-08-30,1190,The Computer Action Show! Season 1 Episode 2,2
2009-09-13,1266,The Computer Action Show! Season 1 Episode 3,3
2009-09-27,1281,The Computer Action Show! Season 1 Episode 4,4
2009-10-11,1328,The Computer Action Show! Season 1 Episode 5,5
2009-10-25,1401,The Computer Action Show! Season 1 Episode 6,6
2009-11-08,1435,The Computer Action Show! Season 1 Episode 7,7
2009-11-22,1462,The Computer Action Show! Season 1 Episode 8,8
2009-12-06,1498,The Computer Action Show! Season 1 Episode 9,9
2009-12-21,1537,The Computer Action Show! Season 1 Episode 10,10
2010-01-03,1576,The Computer Action Show! Season 2 Episode 1,11
2010-01-17,1598,The Computer Action Show! S02E02,12
2010-02-01,1621,The Computer Action Show! S02E03,13
2010-02-14,1650,The Computer Action Show! S02E04,14
