publishDate,wordpressId,title,episodeNo
2012-06-09,20392,New Show! | Coder Radio,0
2012-06-11,20497,Gateways to Programming | CR 01,1
2012-06-18,20693,WWDC Fallout | CR 02,2
2012-06-25,21017,JavaScript != Assembly | CR 03,3
2012-07-02,21237,Summer of Google | CR 04,4
2012-07-09,21436,To the Cloud Alice! | CR 05,5
2012-07-16,21716,"20,000 Leagues Under Java! | CR 06",6
2012-07-23,22081,Eat Your Greens | CR 07,7
2012-07-30,22441,The Dream is a Lie | CR 08,8
2012-08-06,22776,Development Bootcamp for CS Grads | CR 09,9
2012-08-13,23086,"Yes Virginia, Worse is Better | CR 10",10
2012-08-20,23446,Outrageous Fortune | CR 11,11
2012-08-27,23766,For the Love of the Game | CR 12,12
2012-09-03,24041,Unlucky 13 | CR 13,13
2012-09-10,24446,The B Team | CR 14,14
2012-09-17,24711,iSad | CR 15,15
2012-09-24,25026,Burn Baby Burnout | CR 16,16
2012-10-01,25386,Focus | CR 17,17
2012-10-08,25741,The Javascript Problem | CR 18,18
2012-10-15,26066,Process Them! | CR 19,19
2012-10-22,26376,The Modest Rockstar | CR 20,20
2012-10-29,26721,Like a Hurricane | CR 21,21
2012-11-05,27006,Callback Coders | CR 22,22
2012-11-12,27346,We Lied About the Title | CR 23,23
2012-11-19,27706,Lies++ | CR 24,24
2012-11-26,27951,The C++ is Alive | CR 25,25
2012-12-03,28351,2012: Too Scared to Touch | CR 26,26
2012-12-10,28651,HTML4++ | CR 27,27
2012-12-17,28981,Few of Our Favorite Things | CR 28,28
2012-12-23,29266,Indie Games Special | CR 29,29
2012-12-31,29521,The Road Ahead | CR 30,30
2013-01-07,29811,Developing for Ubuntu Phone | CR 31,31
2013-01-14,30141,Monday Morning Java | CR 32,32
2013-01-21,30516,Just Ship | CR 33,33
2013-01-28,30901,GitHub Calls You Stupid | CR 34,34
2013-02-04,31286,R.I.P. XNA | CR 35,35
2013-02-11,31676,Off the Rails | CR 36,36
2013-02-18,32037,Gandalf the Whiteboard | CR 37,37
2013-02-25,32452,Office Hours | CR 38,38
2013-03-04,32961,Captain’s Log | CR 39,39
2013-03-11,33286,Xamarin Warrior Princess | CR 40,40
2013-03-18,33826,Killer Chrome | CR 41,41
2013-03-25,34181,License to Kill | CR 42,42
2013-04-01,34481,Risky Business | CR 43,43
2013-04-08,35031,Browser War 2.0 | CR 44,44
2013-04-15,35401,Great App Recession | CR 45,45
2013-04-22,36116,Payola Problems | CR 46,46
2013-04-29,36441,Conference Blues | CR 47,47
2013-05-06,36736,Calling all Coders | CR 48,48
2013-05-13,37126,Google I/O Wish List | CR 49,49
2013-05-20,37471,Me Oh My I/O! | CR 50,50
2013-05-27,37826,Living Room Brawl | CR 51,51
2013-06-03,38161,52 Commits | CR 52,52
2013-06-10,38551,The Tribe Has Spoken | CR 53,53
2013-06-17,38972,Pining for Tux | CR 54,54
