publishDate,wordpressId,title,episodeNo
2011-12-28,15211,2011&#8217;s Chatty Awards | FauxShow 70,70
2012-01-21,16086,SOPA Report | FauxShow 73,73
2012-01-25,16311,Undeniable Truths | FauxShow 74,74
2012-02-01,16576,Minecraft Addiction | FauxShow 75,75
2012-02-08,16796,Office Space Awards | FauxShow 76,76
2012-02-16,16993,Going Paleo | FauxShow 77,77
2012-02-23,17293,Privacy Changes | FauxShow 78,78
2012-02-29,17532,Leap Day | FauxShow 79,79
2012-03-07,17723,Minecraft &#038; Paleo Updates | FauxShow 80,80
2012-03-14,17991,Beverage of Choice | FauxShow 81,81
2012-03-21,18166,All Things Yummy | FauxShow 82,82
2012-03-28,18396,Poly Whut? | FauxShow 83,83
2012-04-04,18596,Trolling | FauxShow 84,84
2012-04-11,18727,Always Wanted Awards | FauxShow 85,85
2012-04-18,18847,History of 420 | FauxShow 86,86
2012-04-25,18977,Life Pro Tips | FauxShow 87,87
2012-05-02,19232,Relaxing | FauxShow 88,88
2012-05-09,19438,Money Punch Awards | FauxShow 89,89
2012-05-17,19662,Great Sites | FauxShow 90,90
2012-05-23,19861,Blogging | FauxShow 91,91
2012-05-30,20072,Art | FauxShow 92,92
2012-06-06,20293,Alternative Eating | FauxShow 93,93
2012-06-13,20562,Host Moments Awards | FauxShow 94,94
2012-06-20,20771,BACON! | FauxShow 95,95
2012-06-27,21092,I/O Keynote Highlights | FauxShow 96,96
2012-07-04,21281,Favorite Mobile Apps | FauxShow 97,97
2012-07-11,21521,Summer Project Awards | FauxShow 98,98
2012-07-18,21866,Fisher History II | FauxShow 99,99
2012-07-25,22201,Behind the Scenes | FauxShow 100,100
2012-08-01,22561,10 Handy Tech Sites | FauxShow 101,101
2012-08-08,22881,Dream Job Awards | FauxShow 102,102
2012-08-15,23176,Linux Action Faux | FauxShow 103,103
2012-08-22,23536,Extreme Meal Time | FauxShow 104,104
2012-08-29,23881,Kids Movies for Adults | FauxShow 105,105
2012-09-05,24141,The Fart | FauxShow 106,106
2012-09-12,24531,Finding JB Awards | FauxShow 107,107
2012-09-19,24786,Did you know&#8230; | FauxShow 108,108
2012-09-26,25126,Minecraft | FauxShow 109,109
2012-10-03,25496,Earworms 2 | FauxShow 110,110
2012-10-10,25826,Kids Say&#8230; Awards | FauxShow 111,111
2012-10-17,26221,Conserving Water | FauxShow 112,112
2012-10-24,26471,Hemp is Awesome | FauxShow 113,113
2012-10-31,26796,Halloween 2012 | FauxShow 114,114
2012-11-07,27111,Overuse | FauxShow 115,115
2012-11-14,27436,Starting A Job | FauxShow 116,116
2012-11-22,27801,Desktop Screenshot Awards | FauxShow 117,117
2012-11-28,28061,Gift Ideas 2012 | FauxShow 118,118
2012-12-05,28451,Saying It Wrong | FauxShow 119,119
2012-12-12,28751,JB Background Awards | FauxShow 120,120
2012-12-19,29121,Holiday Things | FauxShow 121,121
2012-12-26,29326,Office Pranks | FauxShow 122,122
2013-01-02,29566,Clever Inventions | FauxShow 123,123
2013-01-09,29916,Staying Warm Awards | FauxShow 124,124
2013-01-23,30666,Sweet Brown | FauxShow 125,125
2013-01-30,31021,Game Time | FauxShow 126,126
2013-02-06,31371,Got Milk? | FauxShow 127,127
2013-02-13,31791,Jupiter Sites | FauxShow 128,128
2013-02-21,32307,Game Time 2 | FauxShow 129,129
2013-02-27,32572,All About Balls | FauxShow 130,130
2013-03-07,33181,FauxSNAP! | FauxShow 131,131
2013-03-14,33711,Bulging Mail Sack | FauxShow 132,132
2013-03-21,34061,PIZZA | FauxShow 133,133
2013-03-28,34386,Marriage Equality | FauxShow 134,134
2013-04-04,34691,Left Handedness | FauxShow 135,135
2013-04-11,35286,Caffeine | FauxShow 136,136
2013-04-18,35671,TechSNAP 100 Awards | FauxShow 137,137
2013-04-25,36361,Get More Done | FauxShow 138,138
2013-05-09,37011,Story Time | FauxShow 139,139
2013-05-16,37356,New Google+ Features | FauxShow 140,140
2013-05-23,37701,Doing it Wrong | FauxShow 141,141
2013-06-06,38431,Webcams | FauxShow 142,142
2013-06-13,38792,Ang Goes Android | FauxShow 143,143
2013-06-20,39217,Android Report | FauxShow 144,144
2013-06-27,39662,FauxShower | FauxShow 145,145
2013-07-04,39937,Back to Childhood | FauxShow 146,146
2013-10-04,44137,Fisher Family Update | FauxShow 147,147
2013-10-11,44532,iGoogle Alternatives | FauxShow 148,148
2013-10-18,44932,Oreo Action Show | FauxShow 149,149
2013-10-25,45342,Mobile Collage Apps | FauxShow 150,150
2013-11-01,45727,Here Come the Holidays | FauxShow 151,151
2013-11-16,46437,All About Teeth | FauxShow 152,152
2013-11-23,46802,Over 30 | FauxShow 153,153
2013-11-29,47147,Gift Ideas | FauxShow 154,154
2013-12-06,47657,Must Have Apps | FauxShow 155,155
2013-12-13,48037,Household Tips | FauxShow 156,156
2013-12-28,48632,Minecraft Faux World | FauxShow 157,157
2014-01-04,48927,Faux World Competition | FauxShow 158,158
2014-01-11,49307,JB’s BIG 2014 Plans | FauxShow 159,159
2014-01-18,49797,Unusual Art | FauxShow 160,160
2014-01-25,50307,Is Fitbit Legit? | FauxShow 161,161
2014-02-01,50792,Fun With Twitter | FauxShow 162,162
2014-02-08,51242,Is Bitcoin  Bombing? | PlanFaux 163,163
2014-02-15,51642,Sticker Awards | FauxShow 164,164
2014-02-22,52077,Faux Vs. Runner2 | FauxShow 165,165
2014-03-01,52492,FauxFilter | FauxShow 166,166
2014-03-08,53027,In App Mayhem | FauxShow 167,167
2014-03-15,53452,Studio Awards | FauxShow 168,168
2014-03-21,53822,United Steaks of America | FauxShow 169,169
2014-03-29,54242,Xonotic Vs | FauxShow 170,170
2014-04-05,54602,#530Slide | FauxShow 171,171
2014-04-11,55002,Toddler Gifts | Fauxshow 172,172
2014-04-19,55432,Faux vs Race the Sun | FauxShow 173,173
2014-04-26,56017,Instagram | FauxShow 174,174
2014-05-05,56687,LAS 300 SWAG | FauxShow 175,175
2014-05-12,57157,Playing with Perspective | FauxShow 176,176
2014-05-18,57677,Science Facts | FauxShow 177,177
2014-05-25,58237,Faux BBQ Starter | FauxShow 178,178
2014-06-01,58662,FauxBuns | FauxShow 179,179
2014-06-08,59422,Solar Freakin’ Roadways | FauxShow 180,180
2014-06-15,59947,Addicted to Podcasts | FauxShow 181,181
2014-06-22,60447,Yo | FauxShow 182,182
2014-06-29,61022,Mail Sack Special | FauxShow 183,183
2014-07-06,61617,Summer Project Awards 2014 | FauxShow 184,184
2014-07-20,62687,Board Games w/Murphy | FauxShow 185,185
2014-07-27,63192,Doppelgangers | FauxShow 186,186
2014-08-03,63697,How do you watch JB? | FauxShow 187,187
2014-08-10,64247,Faux Vs Race The Sun Again | FauxShow 188,188
2014-08-17,64692,Go Hack Yourself | FauxShow 189,189
2014-08-24,65247,3D Printing | FauxShow 190,190
2014-08-31,65677,Faux Product Awards | FauxShow 191,191
2014-09-07,66207,Leopard vs Star Trek | FauxShow 192,192
2014-09-14,66692,5 sites to make you think | FauxShow 193,193
2014-09-21,67232,Upgrade Your Photos | FauxShow 194,194
