publishDate,wordpressId,title,episodeNo
2010-06-11,2072,"Jupiter@Nite [Pilot 1]: iPhone 4, Installing Froyo on Droid, and data Teleportation!",0
2010-06-11,2073,"Jupiter@Nite [BETA 1]: iPad Emails Stolen, Mortal Kombat &quot;fan film&quot;",1
2010-06-15,2117,"Jupiter@Nite [BETA 2]: LAS Errata, Kinect Impressions",2
2010-06-21,2147,Internet Kill Switch &amp; Biggest Zeppelin Ever | Jupiter@Nite,3
2010-06-29,2194,"Facebook, Smut Killing Flash, &#038; Russian Spies",4
2010-07-01,2210,"Real Flying Cars, The Kin is Dead, Queen Tut? | J@N BETA5",5
2010-07-07,2268,Jupiter@Nite BETA6: Google Your House &#038; Moonbase Alpha Review,6
2010-07-12,2306,Live in Space &#038; Win at Life | Jupiter@Nite BETA7,7
2010-07-13,2319,How Caffeine Affects Your Brain | Jupiter@Nite BETA8,8
2010-07-14,2324,The Future of Computer Connectivity | Jupiter@Nite BETA9,9
2010-07-15,2327,Droid X Does Jupiter@Nite | July 15th 2010,?
2010-07-19,2399,Top 3 Modern Medical Miracles &#038; Inception Review! | Jupiter@Nite | 7.19.10,?
2010-07-20,2415,Apollo Moon Landing’s Birthday! | Jupiter@NIte | 7.20.10,?
2010-07-21,2421,War on Terror Suffering Info Overload? | Jupiter@Nite | 7.21.10,?
2010-07-22,2432,Joss Whedon Will Avenge Us! | Jupiter@Nite | 7.22.10,?
2010-07-26,2446,Now With More Ownership! | Jupiter@Nite | 7.26.10,?
2010-07-27,2463,Money &#038; Drugs | Jupiter@Nite | 7.27.10,?
2010-07-28,2467,Time Savers &#038; Wasters | Jupiter@Nite | 7.28.2010,?
2010-07-29,2475,Retro Tech: 15 Years Ago | Jupiter@Nite | 7.29.10,?
2010-08-02,2514,Hacker Con Round-Up | Jupiter@Nite | 8.02.10,?
2010-08-03,2527,The Great  Movie Trilogy Debate | Jupiter@Nite | 8.3.10,?
2010-08-04,2532,The Secrets of Sleep | Jupiter@Nite | 8.4.10,?
2010-08-05,2545,History of Internet Porn | Jupiter@Nite | 8.5.10,?
2010-08-09,2571,Science That Scares Us | Jupiter@Nite | 8.9.10,?
2010-08-10,2586,Attack of the Sensational Media! | Jupiter@Nite | 8.10.10,?
2010-08-11,2591,Robots vs. Zombies | Jupiter@Nite | 8.11.10,?
2010-08-12,2597,Before They Were Expendable | Jupiter@Nite | 8.12.10,?
2010-08-17,2613,Kill The Cineplex! | Jupiter@Nite | 8.16.2010,?
2010-08-17,2629,Our Server Crashed! | Jupiter@Nite | 8.17.10,?
