publishDate,wordpressId,title,episodeNo
2009-10-22,1387,Joint Failures Episode 1: eBooks and Weed,1
2009-10-31,1414,Megan Fox &#038; Swine Flu: Joint Failures Episode 2,2
2009-11-05,1427,Net Neutrality vs Summer Glau,3
2009-11-12,1446,GLOBAL WARMING DOOM or a Cold Hoax? | Joint Failures Episode 4,4
2009-11-27,1483,Are Americans Afraid of Nudity? | Joint Failures 5,5
2009-11-29,1489,A Woman&#8217;s Place is In The Kitchen? | Joint Failures 6,6
2009-12-13,1516,Is Software Piracy Immoral? | Joint Failures 007,7
2010-02-07,1630,"Internet Drivers License, Bacon Choclate, Kreuk vs Johansson",10
2010-03-21,1751,How to Destroy a Volcano | Joint Failures 11,11
2010-04-22,1864,SHE MIGHT BE A DUDE?! | Joint Failures Episode 12,12
