publishDate,wordpressId,title,episodeNo
2010-02-07,1635,Bioshock 2 Preview &#038; STO Review | LOTSO 001,1
2010-02-21,1658,God of War III Preview &#038; BioShock 2 Review | LOTSO 002,2
2010-03-10,1714,Top 5 Games &#038; Portal 2 Discussion: LOTSO 003,3
2010-03-28,1764,EA Plans to Charge for Demos? | LOTSO4,4
2010-04-15,1824,Top 5 Xbox Live Games of 09 | LOTSO 5,5
2010-04-29,1905,Splinter Cell Conviction Review &#038; Top Failed Franchises,6
2010-05-13,1960,APB News &#038; Pre-Game Rituals | LOTSO 007,7
2010-05-27,2021,"Red Dead, SKATE 3 &#038; Prince of Persia FS Reviews! | LOTSO 8",8
2010-06-10,2062,Top 3 Co-Ops | LOTSO 009,9
2010-06-24,2160,E3 Wrangle-Up | LOTSO 10,10
2010-07-08,2275,OnLive Review | LOTSO 11,11
2010-07-22,2423,Deathspank &#038; Crackdown 2 Reviews | LOTSO 12,12
2010-08-05,2536,Party Games &#038; Live Q&#038;A | LOTSO 13,13
2010-08-19,2637,Preview: Best of Q4 2010 | LOTSO 14,14
2010-09-02,2727,Rockstars: Lazlow and Carlos Interview | LOTSO 15,15
2010-09-17,2831,PAX 2010 Wrangle-Up | LOTSO 16,16
2010-10-02,2905,Halo Reach Review | LOTSO 17,17
2010-10-18,2985,Game News Extravaganza! | LOTSO 18,18
2010-10-29,3051,Minecraft &#038; New Vegas Madness | LOTSO 19,19
2010-11-13,3396,Kinect Review | LOTSO 20,20
2010-11-27,3756,New Vegas Follow Up | LOTSO 21,21
2010-12-11,4003,Best of Mobile Gaming | LOTSO 22,22
2010-12-24,4312,Best Games of 2010 | LOTSO 23,23
2011-01-21,4667,DCUO Review |  LOTSO 24,24
2011-02-04,5046,Champions Online Review | LOTSO 25,25
2011-02-19,5423,Gaming News Roundup | LOTSO 26,26
2011-03-04,5831,Marvel vs. Capcom 3 Review | LOTSO 27,27
2011-03-18,6241,Open Mic Calls | LOTSO 28,28
2011-04-15,7178,Summer Predictions | LOTSO 29,29
