publishDate,wordpressId,title,episodeNo
2013-08-12,41497,Too Much Choice | LU1,1
2013-08-19,41852,Edge of Failure | LINUX Unplugged 2,2
2013-08-26,42192,Go Dock Yourself | LINUX Unplugged 3,3
2013-09-03,42412,Are Linux Users Cheap? | LINUX Unplugged 4,4
2013-09-10,42852,Wrath of Linus | LINUX Unplugged 5,5
2013-09-17,43222,The Android Problem | LINUX Unplugged 6,6
2013-09-24,43562,Full SteamOS Ahead | LUP 7,7
2013-10-01,43897,Cloud Guilt | LINUX Unplugged 8,8
2013-10-08,44322,The Ubuntu Situation | LINUX Unplugged 9,9
2013-10-15,44672,The Ubuntu Hangover | LINUX Unplugged 10,10
2013-10-22,45112,Bankrupt Linux News | LINUX Unplugged 11,11
2013-10-29,45452,Debating Debian Decisions | LUP 12,12
2013-11-05,45892,Dark Mail: A New Hope | LUP 13,13
2013-11-12,46227,Negative in the Practical Dimension | LUP 14,14
2013-11-19,46582,Don’t Switch to Linux | LUP 15,15
2013-11-26,46957,Meet the Dockers | LUP 16,16
2013-12-03,47387,Swap It Outta Here | LUP 17,17
2013-12-10,47817,Hugs for LUGs | LUP 18,18
2013-12-17,48172,Fixing Linux Support | LUP 19,19
2013-12-24,48512,Fidel Chromecastro | LUP 20,20
2013-12-31,48772,Unplugging 2013 | LUP 21,21
2014-01-07,49067,Hurd Mentality | LUP 22,22
2014-01-14,49517,Google Invades Your Nest |  LUP 23,23
2014-01-21,50057,FUD for Thought | LUP 24,24
2014-01-28,50527,Culture of Shiny | LUP 25,25
2014-02-04,50947,MATE Mythbusting | LUP 26,26
2014-02-11,51387,Debian&#8217;s systemd Decision | LUP 27,27
2014-02-18,51842,Neckbeard Entitlement Factor | LUP 28,28
2014-02-25,52287,The Klementine Squeeze | LUP 29,29
2014-03-04,52722,Talkin&#8217; Tox | LUP 30,30
2014-03-11,53187,Ubuntu Punching Bag | LUP 31,31
2014-03-18,53597,Do Me a SolydXK | LUP 32,32
2014-03-25,54022,Graphical Civil War | LUP 33,33
2014-04-01,54402,Drive-By Advice | LUP 34,34
