publishDate,wordpressId,title,episodeNo
2010-07-19,2377,NFC and AFC South Preview | Northwest Goofballs | Episode 1,-1
2010-08-05,2540,AFC &#038; NFC East Preview | Northwest Goofballs Episode 2,-2
2010-09-08,2766,Kickoff Weekend Picks | Northwest Goofballs 1,1
2010-09-14,2813,Results &#038; Week 2 Picks | Northwest Goofballs 2,2
2010-09-22,2860,Week 2 Results &#038; Week 3 Predictions | NWGB 3,3
2010-09-29,2890,Week 3 Results &#038; Week 4 Picks | Northwest Goofballs 4,4
2010-10-07,2931,Week 4 Results &#038; Week 5 Picks | NWGB 5,5
2010-10-14,2961,Week 5 Results &#038; Week 6 Picks | NWGB 6,6
2010-10-21,3003,Week 7 | Northwest Goofballs 7,7
2010-10-27,3024,Week 8 | Northwest Goofballs 8,8
2010-11-03,3141,Week 9 | Northwest Goofballs 9,9
2010-11-12,3381,Week 10 | Northwest Goofballs 10,10
2010-11-26,3741,Week 12 | Northwest Goofballs,11
2010-12-01,3821,Week 13 | Northwest Goofballs,12
2010-12-08,3952,Northwest Goofballs Week 14,13
2010-12-15,4092,Northwest Goofballs Week 15,14
2010-12-22,4242,Northwest Goofballs Week 16,15
2011-01-07,4471,Northwest Goofballs Week 17,16
