publishDate,wordpressId,title,episodeNo
2013-04-10,35166,BETA | Plan B 1,1
2013-04-16,35446,Just Getting Started | Plan B 2,2
2013-04-23,36156,Flight of the Butterfly | Plan B 3,3
2013-04-30,36531,Inside BitVegas | Plan B 4,4
2013-05-07,36791,To Mine or Not to Mine? | Plan B 5,5
2013-05-14,37176,Spending Your Coins | Plan B 6,6
2013-05-21,37516,Amir Taaki &#038; #Bitcoin 2013 | Plan B 7,7
2013-05-28,37871,Then They Fight You | Plan B 8,8
2013-06-04,38276,Bitcoin Will Disrupt Big Media | Plan B 9,9
2013-06-11,38606,90 Days or Bust | Plan B 10,10
2013-06-18,39012,Be Your Own Bitcoin Exchange | Plan B 11,11
2013-06-25,39422,Bitcoin vs The Banks | Plan B 12,12
2013-07-02,39802,Blame it on Mt. Gox | Plan B 13,13
2013-07-09,40097,Winklevoss Woes | Plan B 14,14
2013-07-16,40422,Bitcoin Must Comply | Plan B 15,15
2013-07-23,40712,Summer of Bitcoin | Plan B 16,16
2013-07-30,40977,Regulation Dooms Bitcoin? | Plan B 17,17
2013-08-06,41262,The Big Picture Perspective | Plan B 18,18
2013-08-13,41582,US vs Bitcoin Revolution | Plan B 19,19
2013-08-20,41947,Bitcoin is Legal-ish | Plan B 20,20
