publishDate,wordpressId,title,episodeNo
2011-05-25,8723,Gravity | SciByte 1,1
2011-06-01,8966,Time | SciByte 2,2
2011-06-07,9221,Dark Matter | SciByte 3,3
2011-06-15,9406,Alternative Fuels | SciByte 4,4
2011-06-22,9597,Antimatter | SciByte 5,5
2011-07-06,10036,Science of BBQ | SciByte 6,6
2011-07-13,10216,Solar Storms | SciByte 7,7
2011-07-20,10433,Large Hadron Collider | SciByte 8,8
2011-07-26,10627,Lightning | SciByte 9,9
2011-08-03,10897,The Periodic Table | SciByte 10,10
2011-08-10,11101,Science Q&#038;A | SciByte 11,11
2011-08-17,11271,Near Earth Objects | SciByte 12,12
2011-08-24,11471,Old Wives Tales | SciByte 13,13
2011-08-31,11606,Hundred Year Spaceship | SciByte 14,14
2011-09-06,11906,Warp Drive | SciByte 15,15
2011-09-13,12121,Crazy Science Questions | SciByte 16,16
2011-10-18,12956,Neutrinos &#038; Tatooine | SciByte 17,17
2011-10-25,13146,Planets &#038; Brains | SciByte 18,18
2011-11-01,13418,Space Station and Lizards | SciByte 19,19
2011-11-08,13622,Asteroids and Black Holes | SciByte 20,20
2011-11-15,13951,Brains &#038; Light | SciByte 21,21
2011-11-22,14177,Curiosity Rover | SciByte 22,22
2011-11-30,14486,Spacecraft Updates | SciByte 23,23
2011-12-07,14756,Habitable Planets &#038; Chimps | SciByte 24,24
2011-12-13,14913,Higgs Bosons &#038; Tough Materials | SciByte 25,25
2011-12-21,15092,Planets &#038; Feedback | SciByte 26,26
2012-01-05,15341,Revisiting the Moon | SciByte 27,27
2012-01-10,15611,Moons Here &#038; There | SciByte 28,28
2012-01-17,15946,Exoplanets &#038; Social Media | SciByte 29,29
2012-01-24,16276,Solar Storms &#038; Private Space Flight | SciByte 30,30
2012-01-31,16521,Feedback &#038; Space Lego’s | SciByte 31,31
2012-02-07,16767,Habitable Planets &#038; Plant Power | SciByte 32,32
2012-02-14,16951,Sub Glacial Lakes &#038; Updates | SciByte 33,33
2012-02-21,17213,Satellites &#038; Robonaut 2 | SciByte 34,34
2012-02-28,17493,Neutrinos &#038; Leap Year | SciByte 35,35
2012-03-06,17692,Atmospheric Moon &#038; Pacemakers | SciByte 36,36
2012-03-13,17947,Solar Storms &#038; Higgs Boson | SciByte 37,37
2012-03-20,18136,Meteorites &#038; Lasers | SciByte 38,38
2012-03-27,18337,Amazon &#038; Martian Weather | SciByte 39,39
2012-04-03,18543,Apollo 11 &#038; James Cameron | SciByte 40,40
2012-04-10,18692,Baby Mammoths &#038; Feathered Dinosaurs | SciByte 41,41
2012-04-17,18803,World Climate &#038; Light Pollution | SciByte 42,42
2012-04-24,18926,Martian Dust Devils &#038; The Shuttles | SciByte 43,43
2012-05-01,19186,Mining Asteroids &#038; Shuttle Discovery | SciByte 44,44
