publishDate,wordpressId,title,episodeNo
2009-09-01,1195,STOked Season 1 Episode 1,1
2009-09-07,1239,STOked Season 1 Episode 2,2
2009-09-22,1272,STOked Season 1 Episode 3,3
2009-09-29,1290,STOked Season 1 Episode 4,4
2009-10-06,1299,STOked Season 1 Episode 5,5
2009-10-13,1347,STOked Season 1 Episode 6,6
2009-10-20,1381,STOked Season 1 Episode 7,7
2009-10-28,1407,STOked Season 1 Episode 8: Beta RAGE!,8
2009-11-03,1420,STOked Season 1 Episode 9: Major New Game Play Details!,9
2009-11-10,1440,Star Trek Online Beta Leaks &#038; Day to Day Game Play,10
2009-11-16,1453,We&#8217;ve Got Bridges &#038; More Info from Beta!,11
2009-11-24,1475,Space &#038; Ground Tactics | STOked S01 E12,12
2009-12-01,1492,New Beta Info + Character Creation | STOked S1 E13,13
2009-12-07,1504,How Cryptic Saved Star Trek Online | STOked S01 E14,14
2009-12-14,1521,Interview with Cryptic&#8217;s Daniel Stahl | STOked S1 E15,15
2009-12-22,1544,Klingon Controversy | STOked S1 E16,16
2009-12-30,1557,2010: Will Star Trek Online Make It? | STOked S1 E17,17
2010-01-05,1582,Live STO Q&#038;A &#038; Surviving Open Beta | STOked S01E18,18
2010-01-19,1604,STO Open Beta Report &#038; Game Video Capture Tip | STOked S01E19,19
2010-01-26,1617,Space / Ground / Crafting / Sector Space Tutorials,20
2010-02-02,1625,STOked s2e1: Gozer Interview &#038; Skills Calculator,21
2010-02-09,1641,STOked S02E02: How Torpedoes Work &#038; Taking on the Crystalline Entity,22
2010-02-16,1653,"STOked S02E03: New Borg Content, Game Bugs &#038; Martial Arts",23
2010-02-23,1672,STOked S02E04: State of The Game Interview &#038; Best STO Video Card,24
2010-03-02,1700,STOked Season 2 Episode 5: What We Want Fixed,25
2010-03-09,1718,STOked s02e06: Crystalline Catastrophe,26
2010-03-16,1738,Beating The Infected | STOked s02e07,27
2010-03-23,1758,STO Respec Guide | STOked S02E08,28
2010-03-30,1784,Ship Energy Levels and YOU! | STOked s02e09,29
2010-04-06,1802,Tribble Grow Like a PRO | STOked s02e10,30
2010-04-20,1849,Your Questions Craig&#8217;s Answers | STOked 30,30
2010-04-27,1898,Your Suggestions to Fix PvP | STOked 31,31
2010-05-04,1928,Guide to STO Ship Energy Weapons | STOked 32,32
2010-05-11,1941,Goodbye to Gozer &#038; Best Non-Combat Ideas | STOked 33,33
2010-05-18,1985,STO Mini-Games Confirmed &#038; Building a PC for STO,34
2010-05-25,2013,This Will Change STO Forever | STOked 035,35
2010-06-01,2037,Master Your Shields | STOked 36,36
2010-06-08,2055,What YOU Want in a UGC Engine | STOked 37,37
2010-06-15,2111,Exposing Ground Combat | STOked 38,38
2010-06-22,2148,YOUR Ground Combat Ideas | STOked 39,39
2010-06-29,2201,How to Pick the Right Deflector Dish | STOked 40,40
2010-07-06,2243,STO&#8217;s New Exec Producer: Daniel Stahl | STOked 41,41
2010-07-13,2310,STO Season 2 Preview | STOked 042,42
2010-07-20,2402,Live STO Respec Q&#038;A | STOked 043,43
2010-07-27,2451,How to Use Demo Record | STOked 44,44
2010-08-03,2512,Diplomatic Walk Thru | STOked 45,45
2010-08-10,2578,XBox 360 Controller Tutorial | STOked 46,46
2010-08-17,2619,Invasion of the Ship Snatchers | STOked 47,47
2010-08-24,2666,Torpedos Away! | STOked 48,48
2010-08-31,2704,STOked Birthday Party! | STOked 49,49
2010-09-07,2752,Captain Bio Spotlight | STOked 50,50
2010-09-14,2806,Hacking STO | STOked 51,51
2010-09-21,2848,Dabo Math | STOked 52,52
2010-09-28,2879,Series 1 Retrospective | STOked 53,53
2010-10-12,2946,Stahl Tells All | STOked 54,54
2010-10-19,2989,The Perfect Away Team | STOked 55,55
2010-10-26,3012,Jesse Heinig Interview | STOked 56,56
2010-11-02,3096,"Spooky Updates, Charts &#038; Links | STOked 57",57
2010-11-09,3271,Welcome Back Gozer! | STOked 58,58
2010-11-16,3466,Equipped to Kill: Crystalline Entity | STOked 59,59
2010-11-23,3666,A Good Day To Die | STOked 60,60
2010-12-07,3896,Foundry Preview | STOked 61,61
2010-12-14,4063,STO’s New Crafting | STOked 062,62
2010-12-21,4176,2010 Recap / 2011 Preview | STOked 63,63
2011-01-04,4393,Winning Foundry Submission | STOked 64,64
2011-01-11,4517,Fly Her Apart! | STOked 65,65
2011-01-18,4607,Subspace Info Dump | STOked 66,66
2011-01-25,4752,Aegis vs Borg | STOked 67,67
2011-02-01,4983,Shuttle Info Round-Up | STOked 68,68
2011-02-08,5107,StormShade Interview | STOked 69,69
2011-02-15,5258,Romulans in the Dark | STOked 70,70
2011-02-22,5477,Gozer Remastered | STOked 71,71
2011-03-01,5598,Coliseum Review | STOked 72,72
2011-03-08,5953,Cutting The Cord Review | STOked 73,73
2011-03-15,6136,Skills That Pay Bills | STOked 74,74
2011-03-22,6326,Rise of Darkness | STOked 75,75
2011-03-29,6611,Meet Al Rivera | STOked 76,76
2011-04-12,7036,Stahl on Foundry | STOked 77,77
2011-04-19,7242,Lucky Shot | STOked 78,78
2011-04-26,7521,Foundry Soap Box | STOked 79,79
2011-05-03,7742,Podcaster Summit Highlights | STOked 80,80
2011-05-10,8003,Beyond Season 4 | STOked 81,81
2011-05-17,8301,Rumor Smashing | STOked 82,82
2011-05-24,8592,Cryptic: Remastered | STOked 83,83
2011-05-31,8936,Eve of Battle | STOked 84,84
2011-06-07,9146,Infected Perfected | STOked 85,85
2011-06-14,9376,Sure-Fire Cure | STOked 86,86
2011-06-21,9573,Ground Combat 2.0 | STOked 87,87
2011-06-28,9751,Khitomer According to Us | STOked 88,88
2011-07-04,9991,Into the Crossfire | STOked 89,89
2011-07-11,10171,Season 4 Arrives | STOked 90,90
2011-07-25,10577,Back to School | STOked 91,91
2011-08-01,10868,Caught in the Crossfire | STOked 92,92
2011-08-08,11063,Rhode Island Q&#038;A | STOked 93,93
2011-08-15,11232,In A Perfect World | STOked 94,94
2011-08-22,11448,Stahl’s Brain | STOked 95,95
2011-09-05,11831,STO Free to Play | STOked 96,96
2011-09-12,12063,Matrix Freeloaded | STOked 97,97
2011-09-20,12266,Executive Orders | STOked 98,98
2011-09-26,12421,Cleared for Departure | STOked 99,99
2011-10-03,12601,New Voyages | STOked 100,100
