publishDate,wordpressId,title,episodeNo
2012-05-19,19722,Cannabis Prohibition | Unfilter 1,1
2012-05-26,19937,Security Theater Critics | Unfilter 2,2
2012-06-01,20131,The Kill List | Unfilter 3,3
2012-06-08,20342,Profiting from Prisoners | Unfilter 4,4
2012-06-15,20628,Made in America | Unfilter 5,5
2012-06-22,20851,The Syria Scam | Unfilter 6,6
2012-06-29,21152,Rethinking Sugar | Unfilter 7,7
2012-07-06,21341,Meet Monsanto | Unfilter 8,8
2012-07-13,21611,The Fluoride Question | Unfilter 9,9
2012-07-20,21966,Blackwater Academi | Unfilter 10,10
2012-07-26,22296,Never Waste a Crisis | Unfilter 11,11
2012-08-03,22651,Keeping you Scared | Unfilter 12,12
2012-08-09,22961,Keeping You Distracted | Unfilter 13,13
2012-08-16,23276,Privatized Domestic Spying | Unfilter 14,14
2012-08-23,23636,Two Strikes | Unfilter 15,15
2012-09-06,24236,Burn the Books | Unfilter 16,16
2012-09-13,24637,The Blowback Decade | Unfilter 17,17
2012-09-20,24886,FBI Gone Wild | Unfilter 18,18
2012-09-27,25221,Obama&#8217;s Dronegeddon | Unfilter 19,19
2012-10-04,25596,Spooky Scary Cyberwar | Unfilter 20,20
2012-10-11,25911,Meme Spotting | Unfilter 21,21
2012-10-18,26276,Half Ton Entrapment | Unfilter 22,22
2012-10-25,26586,Third Party Hope | Unfilter 23,23
2012-11-01,26886,Super Spin Sandy | Unfilter 24,24
2012-11-07,27061,Election 2012 | Unfilter 25,25
2012-11-15,27536,Toked the Vote | Unfilter 26,26
2012-11-29,28191,Internet Toll Booth | Unfilter 27,27
2012-12-06,28566,CIA vs DIA | Unfilter 28,28
2012-12-13,28851,Right to Work | Unfilter 29,29
2012-12-20,29221,Killer Video Games | Unfilter 30,30
2013-01-03,29696,Cliffhanger | Unfilter 31,31
2013-01-10,30001,"Ratings, Lies, and Guns | Unfilter 32",32
2013-01-17,30321,Firearm Fiasco | Unfilter 33,33
2013-01-24,30771,Hillary’s Finale | Unfilter 34,34
2013-01-31,31116,Drone Patrol | Unfilter 35,35
2013-02-07,31471,Ethical Murder | Unfilter 36,36
2013-02-14,31897,Burn it Down | Unfilter 37,37
2013-02-20,32147,Cyber Cold War | Unfilter 38,38
2013-02-28,32712,"Don’t Sequester Me, Bro | Unfilter 39",39
2013-03-06,33071,Crushing Cannabis | Unfilter 40,40
2013-03-13,33401,Internet Insecurities | Unfilter 41,41
2013-03-20,33946,Dick’s War | Unfilter 42,42
2013-03-27,34286,Cyprus Gone Wild | Unfilter 43,43
2013-04-02,34541,Little Boy Un | Unfilter 44,44
2013-04-10,35111,Pipeline Problems | Unfilter 45,45
2013-04-17,35601,Boston Bomb Job | Unfilter 46,46
2013-04-24,36241,Big Brother Boston | Unfilter 47,47
2013-05-01,36571,Bags of Cash | Unfilter 48,48
2013-05-08,36881,NRA 2.0 | Unfilter 49,49
2013-05-16,37271,IRS Party Crashers | Unfilter 50,50
2013-05-22,37611,Tap That Journalist | Unfilter 51,51
2013-05-29,37971,China Loves to Cyber | Unfilter 52,52
