publishDate,wordpressId,title,episodeNo
2014-11-19,71777,Lisa Hewus Fresh | WTR 1,1
2014-11-26,72387,Vinita Khadelwal Rathi | WTR 2,2
2014-12-03,72892,Stephanie Shupe | WTR 3,3
2014-12-10,73387,Maureen Dugan | WTR 4,4
2014-12-17,73977,Emma Jane Westby | WTR 5,5
2014-12-24,74417,Erin Clark | WTR 6,6
2014-12-31,74687,Kaylyn Gibilterra | WTR 7,7
2015-01-06,75037,Annie Ruygt | WTR 8,8
2015-01-14,75502,Christina Keelan | WTR 9,9
2015-01-21,75917,Alice Goldfuss | WTR 10,10
2015-01-28,76357,Priyanka Sharma | WTR 11,11
2015-02-04,76757,Heather Griswold | WTR 12,12
2015-02-11,77122,Sheri Dover | WTR 13,13
2015-02-18,77527,Women In Tech: The Book | WTR 14,14
2015-02-27,77992,Unicorns Don’t Exist | WTR 15,15
2015-03-04,78242,Neurofeedback Robots | WTR 16,16
2015-03-11,78642,Social Marketing | WTR 17,17
2015-03-18,79042,Local Tech Community | WTR 18,18
2015-03-25,79442,Astrophysicist to Designer | WTR 19,19
2015-04-01,79712,OMG the Internet! | WTR 20,20
2015-04-08,80157,Importance of Meetups | WTR 21,21
2015-04-15,80492,College Degree in Carpentry | WTR 22,22
2015-04-22,80907,Network Is Your Net Worth | WTR 23,23
2015-04-29,81342,Reformed Litigator | WTR 24,24
2015-05-06,81552,Living The Linux Life | WTR 25,25
2015-05-13,82012,Change The World | WTR 26,26
2015-05-20,82357,GetMakered | WTR 27,27
2015-05-27,82867,Meeting Debugging | WTR 28,28
2015-06-03,83162,Don’t Do It Alone | WTR 29,29
2015-06-10,83482,Early Tech Obsession | WTR 30,30
2015-06-17,83817,Humanitarian Tech | WTR 31,31
2015-06-24,84167,Nerd Nest Media | WTR 32,32
2015-07-01,84507,Language Workbench | WTR 33,33
